group,hill_coarse,hill_fine,hill_leiden,day
embryo_11,3.4255279108274137,12.581014454474696,6.739794251128013,E8.5
embryo_12,2.96108886030886,12.059633395261828,6.825067530144245,E8.5
embryo_9,2.752844260734695,10.461698804565657,6.68143545306499,E8.5
embryo_4,2.7370654236629988,11.326823932899908,6.751785543581013,E8.5
embryo_8,3.193936665543533,11.494592368098017,6.81274770822085,E8.5
embryo_10,3.042348305875307,11.195267078986962,6.737434873824864,E8.5
embryo_7,3.2239363289305,11.048433435257081,6.784066837947501,E8.5
embryo_1,3.057239579456459,13.234653333120969,6.774228030421447,E8.5
embryo_2,2.9530623851834052,9.926818089666222,6.7054381665975695,E8.5
embryo_5,2.7216211748981247,11.979116367250377,6.767317321606319,E8.5
embryo_3,2.83989965643235,8.504044607856343,6.8394737274139175,E8.5
embryo_6,2.2120101222119777,4.56202007648029,6.666054221497062,E8.5
embryo_47,4.609521690405732,18.709116343459158,12.809560706967037,E13.25
embryo_45,4.6187453522424,20.044124738716423,13.463157753815345,E13.0
embryo_46,4.665495952498221,17.886429613393183,13.349039403555196,E13.25
embryo_44,4.824800416431198,21.9741562489096,13.12874442212409,E13.0
embryo_48,4.72485793234966,15.894948927302066,13.093336467652243,E13.5
embryo_51,5.280778424227709,11.291799305564425,11.647618542609916,E13.75
embryo_50,4.854638505078238,17.637511030280706,13.748750118980862,E13.75
embryo_41,4.291496822425808,20.492231776661594,11.62559502052635,E12.25
embryo_43,4.591702141476751,19.531877719947147,11.086563328501226,E12.75
embryo_40,4.276425215499646,22.328644335432376,10.880467380126474,E12.0
embryo_42,4.472709586904413,22.39496794498544,11.473776401240569,E12.5
embryo_22,3.097168109712658,13.045761427228253,7.379750232274617,E9.5
embryo_14,3.4962568590050056,14.736344862077061,7.365761257925709,E8.75
embryo_18,3.2411760131976983,12.880122506021923,7.352496334000667,E9.25
embryo_17,3.209671414461134,13.75203333074699,7.309357255724529,E9.0
embryo_21,3.1316802074337686,13.684788277976988,7.339068957051007,E9.25
embryo_23,3.067071919487931,13.941009691819135,7.370158129858708,E9.5
embryo_19,3.030951118169602,13.79253875254217,7.411172465843406,E9.25
embryo_24,3.289916829425589,14.957443788783271,7.3477385926601535,E9.5
embryo_16,3.5201260533826204,13.534834457279638,7.322950847111485,E9.0
embryo_15,3.009932295712819,13.908952950269274,7.374303808130929,E9.0
embryo_20,3.1020099018543035,13.936621846905819,7.322933461553744,E9.25
embryo_13,2.8183117601856993,11.277562595592816,7.347817612077828,E8.75
embryo_36,3.4698768648135454,17.928568607076247,10.650939814923891,E11.0
embryo_38,3.6347688745581546,21.392787570791505,11.500136763236279,E11.5
embryo_37,3.710807370011949,20.315189697715503,11.438119595770411,E11.25
embryo_39,3.775418623318381,21.925246674424194,11.615699897072059,E11.75
embryo_28,3.328045333794796,14.463153911782914,7.085299781172483,E9.75
embryo_27,3.351719623008524,13.954728667598777,7.1412496687092855,E9.75
embryo_25,3.2381239917548434,14.657272946273341,7.193572644033734,E9.75
embryo_26,3.2215544951254302,14.007104819168617,7.215193990123162,E9.75
embryo_30,3.3469514505929423,16.25486398990742,6.427962699843115,E10.0
embryo_32,3.267317913065581,14.420529374588615,7.0493630712763675,E10.0
embryo_31,3.323328849202442,14.804927224573836,6.951368775688103,E10.0
embryo_29,3.175609233158967,13.580248820793718,6.821321636096766,E9.75
embryo_53,5.904810266378582,15.119300080666296,14.423018938859691,E14.0
embryo_55,5.454961817499198,11.154055253498633,10.763753450313883,E14.333
embryo_54,5.394314669473182,14.97806291813082,11.842537378789775,E14.25
embryo_34,3.134687500250322,15.121118332181364,6.651785933257868,E10.5
embryo_33,3.5196572660645717,16.369219198234152,7.51699922529285,E10.25
embryo_35,3.2956065457217303,15.905111286872314,9.133184494743041,E10.75
embryo_49,4.470461557536839,19.592046804856434,12.489608052129471,E13.5
embryo_52,5.029361138852713,17.657658214176667,13.232584525492488,E13.75
embryo_58,5.899883941776901,12.922652055826424,11.69325148018444,E15.25
embryo_57,6.04400977728799,12.64606785300719,11.158825463073272,E15.0
embryo_59,5.457039922901543,9.766097133857956,8.77501549161152,E15.5
embryo_60,6.002635379424827,11.359833918066329,9.834435454170636,E15.75
embryo_56,5.686709817188552,11.411792665737151,11.296131986691165,E14.75
embryo_65,7.2635427831876225,17.82587052131488,12.83075781170826,E17.0
embryo_68,7.34873950441824,21.56519882128066,13.980859590080984,E17.75
embryo_66,7.237995717536259,18.358237261349146,12.217332978730669,E17.25
embryo_67,7.802413347072387,21.45162646701038,14.56856187104601,E17.5
embryo_73,9.305048032888378,26.35299366022805,16.306254505394826,P0
embryo_74,7.7575024320024895,22.99284973912352,14.229086050603554,P0
embryo_61,6.003061625166939,11.223493305899062,9.612872769804135,E16.0
embryo_62,6.6389200139963,12.724117871500255,11.151423636242809,E16.25
embryo_63,6.908335028543926,15.993095821782578,12.922751660117791,E16.5
embryo_64,7.432538757887342,18.439789737687395,13.858330165497195,E16.75
embryo_69,8.266853192230304,22.507013611166137,14.822592634467526,E18.0
embryo_70,8.839078103673156,24.517013688059937,15.865075958182647,E18.25
embryo_71,8.171896113533831,23.847529070500624,15.684483500227087,E18.5
embryo_72,9.00153468477973,24.51959872746932,15.953244374086083,E18.75
